"filename", "language", "Shell Script", "Python", "pip requirements", "Log", "comment", "blank", "total"
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\bitquery.py", "Python", 0, 34, 0, 0, 15, 8, 57
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\client.py", "Python", 0, 117, 0, 0, 55, 18, 190
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\dexscreener.py", "Python", 0, 77, 0, 0, 42, 25, 144
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\github_analyzer.py", "Python", 0, 347, 0, 0, 113, 93, 553
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\kalshi.py", "Python", 0, 40, 0, 0, 26, 14, 80
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\mobula.py", "Python", 0, 60, 0, 0, 32, 17, 109
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\moralis.py", "Python", 0, 30, 0, 0, 22, 15, 67
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\provider.py", "Python", 0, 51, 0, 0, 10, 10, 71
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\trenchbot.py", "Python", 0, 21, 0, 0, 15, 7, 43
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\truthsocial.py", "Python", 0, 276, 0, 0, 73, 79, 428
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\api\website_analyzer.py", "Python", 0, 1233, 0, 0, 231, 296, 1760
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\crypto_bot.py", "Python", 0, 388, 0, 0, 123, 91, 602
"c:\Users\ansha\OneDrive\Documents\vscode\TOPG\bot\error_handler.py", "Python", 0, 49, 0, 0, 21, 8, 78
